type,likes,num_comments,num_shares,days_from_event,revenue,total_transactions,collab,date,num_posts,memberships_sold,pop,popcorn_large,popcorn_medium,popcorn_small,Alcohol,general_promo_likes,general_promo_shares,type_post,candy,event_id,movie_1_title,movie_2_title,movie_1_rating,movie_2_rating,movie_1_review_count,movie_2_review_count,movie_1_genre,movie_2_genre,movie_1_release_year,movie_2_release_year,num_movies,double_feature,avg_movie_rating,max_movie_rating,total_review_count,max_review_count,avg_release_year,oldest_release_year,event_year,avg_movie_age,primary_genre,popularity_bucket,log_max_review_count,log_total_review_count,month,day_of_week,total_engagement,engagement_per_post
Special w/UBC + Free Popcorn,263.0,3.0,239.0,9.0,22.0,11.0,Yes,2025-10-30,2,0.0,10.0,0.0,0.0,0.0,0.0,263.0,239.0,individual,1.0,24,A girl Walks home alone at night,Tenebre,3.8,3.7,38120.0,24201.0,Romance/Horror,Horror/Thriller,2014.0,1982.0,2,1,3.75,3.8,62321.0,38120.0,1998.0,1982.0,2025,27.0,Romance,Medium,10.548520590372645,11.040069772455867,10,Thursday,505.0,252.5
Beer Garden,155.0,6.0,113.0,7.0,129.98,27.0,No,2025-10-31,1,6.0,5.0,5.0,0.0,0.0,8.0,,,individual,0.0,25,Scream,,4.0,,485958.0,,Crime/Horror,,1996.0,,1,0,4.0,4.0,485958.0,485958.0,1996.0,1996.0,2025,29.0,Crime,Very High,13.093879537184028,13.093879537184028,10,Friday,274.0,274.0
Regular screening,77.0,0.0,14.0,2.0,46.15,9.0,No,2025-11-03,2,5.0,4.0,0.0,3.0,0.0,0.0,47.0,13.0,both,0.0,26,Bon Cop Bad Cop,The Kid Detective,3.1,3.7,1680.0,17758.0,Comedy/Action,Comedy/Drama,2006.0,2020.0,2,1,3.4000000000000004,3.7,19438.0,17758.0,2013.0,2006.0,2025,12.0,Comedy,Medium,9.784647708654596,9.875036636362113,11,Monday,91.0,45.5
Special,67.0,0.0,20.0,2.0,48.32,12.0,Yes,2025-11-06,2,4.0,4.0,1.0,3.0,0.0,0.0,47.0,13.0,both,1.0,27,Antiviral,Sick of Myself,3.3,4.7,9787.0,51003.0,Scifi/Horror,Comedy/Horror,2012.0,2022.0,2,1,4.0,4.7,60790.0,51003.0,2017.0,2012.0,2025,8.0,Scifi,Medium,10.839659340003433,11.015197030681492,11,Thursday,87.0,43.5
Special w/UBC Club,207.0,3.0,196.0,8.0,151.81,27.0,Yes,2025-11-07,2,7.0,6.0,0.0,0.0,0.0,17.0,47.0,13.0,both,0.0,28,Legally Blonde,,3.8,,313434.0,,Comedy,,2001.0,,1,0,3.8,3.8,313434.0,313434.0,2001.0,2001.0,2025,24.0,Comedy,Very High,12.655347281034798,12.655347281034798,11,Friday,406.0,203.0
Regular screening,55.0,0.0,7.0,2.0,56.15,9.0,No,2025-11-10,2,5.0,2.0,0.0,3.0,3.0,0.0,53.0,14.0,both,4.0,29,Nalujuk Night,Atanarjuat,3.6,3.7,218.0,941.0,Documentary,Drama/Fantasy,2021.0,2001.0,2,1,3.6500000000000004,3.7,1159.0,941.0,2011.0,2001.0,2025,14.0,Documentary,Low,6.848005274576363,7.05617528410041,11,Monday,62.0,31.0
Regular screening,49.0,1.0,8.0,2.0,18.83,5.0,No,2025-11-13,2,1.0,2.0,1.0,1.0,1.0,0.0,53.0,14.0,both,0.0,30,The Thomas Crown affair,Killing Zoe,3.4,3.2,14176.0,1270.0,Crime/Drama,Crime/Drama,1999.0,1993.0,2,1,3.3,3.4,15446.0,14176.0,1996.0,1993.0,2025,29.0,Crime,Low,9.559376212117632,9.64517008871425,11,Thursday,58.0,29.0
Special w/UBC Club,72.0,2.0,29.0,2.0,63.49,9.0,Yes,2025-11-14,2,3.0,3.0,3.0,2.0,0.0,0.0,53.0,14.0,both,0.0,31,Mommy,,4.3,,57435.0,,Drama,,2014.0,,1,0,4.3,4.3,57435.0,57435.0,2014.0,2014.0,2025,11.0,Drama,High,10.958426563414267,10.958426563414267,11,Friday,103.0,51.5
Special w/UBC Club,89.0,0.0,32.0,4.0,104.08,16.0,Yes,2025-11-17,2,1.0,8.0,2.0,7.0,0.0,0.0,46.0,4.0,both,0.0,32,J'ai tué ma mère,White Lie,3.9,3.4,15321.0,1028.0,Drama,Drama,2009.0,2019.0,2,1,3.65,3.9,16349.0,15321.0,2014.0,2009.0,2025,11.0,Drama,Medium,9.637044983076766,9.701983176325399,11,Monday,121.0,60.5
Screen + Q&A,46.0,0.0,25.0,2.0,17.0,3.0,Yes,2025-11-18,2,0.0,2.0,2.0,1.0,0.0,0.0,46.0,4.0,both,1.0,33,Alicia,,3.4,,198.0,,Horror,,1994.0,,1,0,3.4,3.4,198.0,198.0,1994.0,1994.0,2025,31.0,Horror,Low,5.293304824724492,5.293304824724492,11,Tuesday,71.0,35.5
Regular screening,112.0,0.0,31.0,2.0,51.49,12.0,No,2025-11-20,2,3.0,2.0,3.0,4.0,0.0,0.0,46.0,4.0,both,3.0,34,Lilies,C.R.A.Z.Y,3.9,4.0,1909.0,4972.0,Romance/Drama,Comedy/Drama,1996.0,2005.0,2,1,3.95,4.0,6881.0,4972.0,2000.5,1996.0,2025,24.5,Romance,Low,8.511778558714738,8.836664586357426,11,Thursday,143.0,71.5
AMS,,,,,195.0,14.0,No,2025-11-21,0,0.0,29.0,0.0,0.0,0.0,0.0,,,,0.0,35,,,,,,,,,,,0,0,,,,,,,2025,,,,,,11,Friday,,
Regular screening,43.0,0.0,8.0,2.0,11.66,1.0,No,2025-11-24,2,2.0,0.0,0.0,0.0,0.0,0.0,81.0,16.0,both,0.0,36,Ginger Snaps 2,Highway 61,3.2,3.5,8953.0,174.0,Horror/Drama,Comedy,2004.0,1991.0,2,1,3.35,3.5,9127.0,8953.0,1997.5,1991.0,2025,27.5,Horror,Low,9.09985563880091,9.119101891541911,11,Monday,51.0,25.5
Mubi,217.0,4.0,129.0,7.0,92.15,21.0,Yes,2025-11-26,2,5.0,8.0,3.0,7.0,5.0,0.0,81.0,16.0,both,0.0,37,History of Sound,,3.4,,44485.0,,Romance/Drama,,2025.0,,1,0,3.4,3.4,44485.0,44485.0,2025.0,2025.0,2025,0.0,Romance,Medium,10.702929811913675,10.702929811913675,11,Wednesday,350.0,175.0
Regular screening,88.0,2.0,72.0,2.0,104.81,24.0,No,2025-11-27,2,7.0,9.0,4.0,8.0,0.0,0.0,81.0,16.0,both,2.0,38,Malestrom,Crash,3.2,3.6,3978.0,109899.0,Drama,Drama/Thriller,2000.0,1996.0,2,1,3.4000000000000004,3.6,113877.0,109899.0,1998.0,1996.0,2025,27.0,Drama,High,11.607326140391713,11.642882978891425,11,Thursday,162.0,81.0
Special (showcase),141.0,3.0,20.0,2.0,12.0,4.0,No,2025-11-28,2,0.0,1.0,1.0,2.0,0.0,0.0,81.0,16.0,both,0.0,39,Student Showcase,,,,,,,,,,1,0,,,,,,,2025,,,,,,11,Friday,164.0,82.0
Special,100.0,4.0,23.0,3.0,6.0,2.0,Yes,2025-12-01,2,0.0,2.0,0.0,0.0,1.0,0.0,80.0,20.0,both,0.0,40,Molkom Monday,,,,,,,,,,1,0,,,,,,,2025,,,,,,12,Monday,127.0,63.5
Beer Garden,124.0,3.0,31.0,7.0,162.83,24.0,No,2025-12-05,2,0.0,0.0,9.0,6.0,0.0,5.0,80.0,20.0,both,0.0,42,The Shining,,4.2,,428824.0,,Horror,,1980.0,,1,0,4.2,4.2,428824.0,428824.0,1980.0,1980.0,2025,45.0,Horror,Very High,12.968804189278027,12.968804189278027,12,Friday,158.0,79.0
Regular screening,130.0,0.0,19.0,2.0,47.49,11.0,No,2025-12-08,2,3.0,3.0,2.0,2.0,4.0,0.0,73.0,27.0,both,0.0,43,The Polar Express,The Thing,3.3,4.4,119440.0,305676.0,Animation,Horror/Scifi,2004.0,1982.0,2,1,3.85,4.4,425116.0,305676.0,1993.0,1982.0,2025,32.0,Animation,Very High,12.630284267887854,12.960119704137728,12,Monday,149.0,74.5
